# To measure flux divietions for ICCP rebutle Original cloud is unknown
32, 32, 64 # nx,ny,nz
0.050, 0.050 # dx,dy [km, km]
0.000, 0.040, 0.080, 0.120, 0.160, 0.200, 0.240, 0.280, 0.320, 0.360, 0.400, 0.440, 0.480, 0.520, 0.560, 0.600, 0.640, 0.680, 0.720, 0.760, 0.800, 0.840, 0.880, 0.920, 0.960, 1.000, 1.040, 1.080, 1.120, 1.160, 1.200, 1.240, 1.280, 1.320, 1.360, 1.400, 1.440, 1.480, 1.520, 1.560, 1.600, 1.640, 1.680, 1.720, 1.760, 1.800, 1.840, 1.880, 1.920, 1.960, 2.000, 2.040, 2.080, 2.120, 2.160, 2.200, 2.240, 2.280, 2.320, 2.360, 2.400, 2.440, 2.480, 2.520 # altitude levels [km]
x,y,z,lwc,reff,veff
1 ,1 ,18 ,0.01269 ,10.000 ,0.10000
1 ,1 ,19 ,0.02537 ,10.000 ,0.10000
1 ,1 ,20 ,0.06343 ,10.000 ,0.10000
1 ,1 ,21 ,0.06343 ,10.000 ,0.10000
1 ,1 ,22 ,0.06978 ,10.000 ,0.10000
1 ,1 ,23 ,0.07612 ,10.000 ,0.10000
1 ,1 ,24 ,0.08881 ,10.000 ,0.10000
1 ,1 ,25 ,0.07612 ,10.000 ,0.10000
1 ,1 ,26 ,0.06343 ,10.000 ,0.10000
1 ,1 ,27 ,0.06343 ,10.000 ,0.10000
1 ,1 ,28 ,0.07612 ,10.000 ,0.10000
1 ,1 ,29 ,0.07612 ,10.000 ,0.10000
1 ,1 ,30 ,0.06978 ,10.000 ,0.10000
1 ,1 ,31 ,0.05709 ,10.000 ,0.10000
1 ,1 ,32 ,0.05075 ,10.000 ,0.10000
1 ,1 ,33 ,0.06343 ,10.000 ,0.10000
1 ,1 ,34 ,0.07612 ,10.000 ,0.10000
1 ,1 ,35 ,0.06343 ,10.000 ,0.10000
1 ,1 ,36 ,0.03172 ,10.000 ,0.10000
1 ,2 ,18 ,0.01269 ,10.000 ,0.10000
1 ,2 ,19 ,0.01269 ,10.000 ,0.10000
1 ,2 ,20 ,0.08246 ,10.000 ,0.10000
1 ,2 ,21 ,0.03172 ,10.000 ,0.10000
1 ,2 ,22 ,0.01269 ,10.000 ,0.10000
1 ,2 ,23 ,0.01269 ,10.000 ,0.10000
1 ,2 ,24 ,0.01903 ,10.000 ,0.10000
1 ,2 ,25 ,0.01903 ,10.000 ,0.10000
1 ,2 ,26 ,0.02537 ,10.000 ,0.10000
1 ,2 ,27 ,0.05075 ,10.000 ,0.10000
1 ,2 ,28 ,0.06343 ,10.000 ,0.10000
1 ,2 ,29 ,0.06978 ,10.000 ,0.10000
1 ,2 ,30 ,0.05709 ,10.000 ,0.10000
1 ,2 ,31 ,0.04440 ,10.000 ,0.10000
1 ,3 ,19 ,0.03806 ,10.000 ,0.10000
1 ,3 ,20 ,0.08881 ,10.000 ,0.10000
1 ,3 ,21 ,0.03806 ,10.000 ,0.10000
1 ,3 ,22 ,0.04440 ,10.000 ,0.10000
1 ,3 ,24 ,0.01903 ,10.000 ,0.10000
1 ,3 ,30 ,0.01269 ,10.000 ,0.10000
1 ,3 ,31 ,0.01269 ,10.000 ,0.10000
1 ,4 ,19 ,0.03806 ,10.000 ,0.10000
1 ,4 ,20 ,0.06343 ,10.000 ,0.10000
1 ,4 ,21 ,0.05075 ,10.000 ,0.10000
1 ,4 ,22 ,0.06343 ,10.000 ,0.10000
1 ,4 ,23 ,0.08246 ,10.000 ,0.10000
1 ,4 ,24 ,0.08881 ,10.000 ,0.10000
1 ,4 ,25 ,0.10784 ,10.000 ,0.10000
1 ,4 ,26 ,0.04440 ,10.000 ,0.10000
1 ,5 ,22 ,0.03806 ,10.000 ,0.10000
1 ,5 ,23 ,0.08246 ,10.000 ,0.10000
1 ,5 ,24 ,0.08246 ,10.000 ,0.10000
1 ,5 ,25 ,0.01269 ,10.000 ,0.10000
2 ,1 ,16 ,0.00634 ,10.000 ,0.10000
2 ,1 ,17 ,0.01903 ,10.000 ,0.10000
2 ,1 ,18 ,0.02537 ,10.000 ,0.10000
2 ,1 ,19 ,0.03172 ,10.000 ,0.10000
2 ,1 ,20 ,0.05709 ,10.000 ,0.10000
2 ,1 ,21 ,0.04440 ,10.000 ,0.10000
2 ,1 ,22 ,0.01269 ,10.000 ,0.10000
2 ,1 ,23 ,0.03806 ,10.000 ,0.10000
2 ,1 ,24 ,0.04440 ,10.000 ,0.10000
2 ,1 ,25 ,0.03172 ,10.000 ,0.10000
2 ,1 ,26 ,0.01269 ,10.000 ,0.10000
2 ,1 ,27 ,0.02537 ,10.000 ,0.10000
2 ,1 ,28 ,0.06978 ,10.000 ,0.10000
2 ,1 ,29 ,0.08246 ,10.000 ,0.10000
2 ,1 ,30 ,0.07612 ,10.000 ,0.10000
2 ,1 ,31 ,0.07612 ,10.000 ,0.10000
2 ,1 ,32 ,0.04440 ,10.000 ,0.10000
2 ,1 ,33 ,0.02537 ,10.000 ,0.10000
2 ,1 ,34 ,0.02537 ,10.000 ,0.10000
2 ,1 ,35 ,0.04440 ,10.000 ,0.10000
2 ,1 ,36 ,0.02537 ,10.000 ,0.10000
2 ,1 ,37 ,0.03172 ,10.000 ,0.10000
2 ,2 ,19 ,0.01903 ,10.000 ,0.10000
2 ,2 ,20 ,0.06978 ,10.000 ,0.10000
2 ,2 ,21 ,0.02537 ,10.000 ,0.10000
2 ,2 ,22 ,0.03806 ,10.000 ,0.10000
2 ,2 ,23 ,0.02537 ,10.000 ,0.10000
2 ,2 ,24 ,0.01269 ,10.000 ,0.10000
2 ,2 ,25 ,0.02537 ,10.000 ,0.10000
2 ,2 ,26 ,0.01903 ,10.000 ,0.10000
2 ,2 ,27 ,0.01903 ,10.000 ,0.10000
2 ,2 ,28 ,0.01903 ,10.000 ,0.10000
2 ,2 ,29 ,0.03806 ,10.000 ,0.10000
2 ,2 ,30 ,0.05075 ,10.000 ,0.10000
2 ,2 ,31 ,0.01269 ,10.000 ,0.10000
2 ,3 ,18 ,0.01903 ,10.000 ,0.10000
2 ,3 ,19 ,0.02537 ,10.000 ,0.10000
2 ,3 ,20 ,0.03806 ,10.000 ,0.10000
2 ,3 ,21 ,0.01903 ,10.000 ,0.10000
2 ,3 ,22 ,0.05075 ,10.000 ,0.10000
2 ,3 ,23 ,0.06978 ,10.000 ,0.10000
2 ,3 ,24 ,0.06978 ,10.000 ,0.10000
2 ,3 ,25 ,0.08246 ,10.000 ,0.10000
2 ,3 ,26 ,0.08881 ,10.000 ,0.10000
2 ,4 ,18 ,0.01269 ,10.000 ,0.10000
2 ,4 ,19 ,0.01903 ,10.000 ,0.10000
2 ,4 ,20 ,0.01903 ,10.000 ,0.10000
2 ,4 ,21 ,0.01903 ,10.000 ,0.10000
2 ,4 ,22 ,0.01269 ,10.000 ,0.10000
2 ,4 ,23 ,0.07612 ,10.000 ,0.10000
2 ,4 ,24 ,0.06978 ,10.000 ,0.10000
2 ,4 ,25 ,0.02537 ,10.000 ,0.10000
2 ,4 ,26 ,0.02537 ,10.000 ,0.10000
2 ,5 ,23 ,0.01269 ,10.000 ,0.10000
2 ,5 ,24 ,0.01269 ,10.000 ,0.10000
3 ,1 ,14 ,0.00634 ,10.000 ,0.10000
3 ,1 ,15 ,0.01269 ,10.000 ,0.10000
3 ,1 ,17 ,0.00634 ,10.000 ,0.10000
3 ,1 ,19 ,0.01269 ,10.000 ,0.10000
3 ,1 ,20 ,0.02537 ,10.000 ,0.10000
3 ,1 ,21 ,0.03806 ,10.000 ,0.10000
3 ,1 ,22 ,0.03806 ,10.000 ,0.10000
3 ,1 ,23 ,0.04440 ,10.000 ,0.10000
3 ,1 ,24 ,0.02537 ,10.000 ,0.10000
3 ,1 ,25 ,0.04440 ,10.000 ,0.10000
3 ,1 ,26 ,0.01903 ,10.000 ,0.10000
3 ,1 ,27 ,0.03806 ,10.000 ,0.10000
3 ,1 ,28 ,0.06343 ,10.000 ,0.10000
3 ,1 ,29 ,0.08246 ,10.000 ,0.10000
3 ,1 ,30 ,0.08246 ,10.000 ,0.10000
3 ,1 ,31 ,0.09515 ,10.000 ,0.10000
3 ,1 ,32 ,0.10784 ,10.000 ,0.10000
3 ,1 ,33 ,0.05075 ,10.000 ,0.10000
3 ,1 ,34 ,0.01903 ,10.000 ,0.10000
3 ,1 ,35 ,0.02537 ,10.000 ,0.10000
3 ,1 ,36 ,0.02537 ,10.000 ,0.10000
3 ,1 ,37 ,0.06343 ,10.000 ,0.10000
3 ,2 ,18 ,0.00634 ,10.000 ,0.10000
3 ,2 ,19 ,0.02537 ,10.000 ,0.10000
3 ,2 ,20 ,0.06343 ,10.000 ,0.10000
3 ,2 ,21 ,0.03806 ,10.000 ,0.10000
3 ,2 ,22 ,0.05075 ,10.000 ,0.10000
3 ,2 ,23 ,0.06978 ,10.000 ,0.10000
3 ,2 ,24 ,0.04440 ,10.000 ,0.10000
3 ,2 ,25 ,0.03806 ,10.000 ,0.10000
3 ,2 ,26 ,0.05075 ,10.000 ,0.10000
3 ,2 ,27 ,0.03806 ,10.000 ,0.10000
3 ,2 ,29 ,0.04440 ,10.000 ,0.10000
3 ,2 ,30 ,0.04440 ,10.000 ,0.10000
3 ,2 ,31 ,0.02537 ,10.000 ,0.10000
3 ,3 ,18 ,0.02537 ,10.000 ,0.10000
3 ,3 ,20 ,0.03172 ,10.000 ,0.10000
3 ,3 ,21 ,0.01903 ,10.000 ,0.10000
3 ,3 ,22 ,0.03806 ,10.000 ,0.10000
3 ,3 ,23 ,0.07612 ,10.000 ,0.10000
3 ,3 ,24 ,0.05075 ,10.000 ,0.10000
3 ,3 ,25 ,0.06978 ,10.000 ,0.10000
3 ,3 ,26 ,0.08246 ,10.000 ,0.10000
3 ,3 ,27 ,0.01269 ,10.000 ,0.10000
3 ,4 ,20 ,0.01903 ,10.000 ,0.10000
3 ,4 ,21 ,0.01903 ,10.000 ,0.10000
3 ,4 ,22 ,0.02537 ,10.000 ,0.10000
3 ,4 ,23 ,0.04440 ,10.000 ,0.10000
3 ,4 ,24 ,0.07612 ,10.000 ,0.10000
3 ,4 ,25 ,0.06343 ,10.000 ,0.10000
3 ,4 ,26 ,0.05075 ,10.000 ,0.10000
4 ,1 ,14 ,0.00634 ,10.000 ,0.10000
4 ,1 ,15 ,0.02537 ,10.000 ,0.10000
4 ,1 ,16 ,0.01269 ,10.000 ,0.10000
4 ,1 ,21 ,0.02537 ,10.000 ,0.10000
4 ,1 ,22 ,0.01903 ,10.000 ,0.10000
4 ,1 ,23 ,0.05075 ,10.000 ,0.10000
4 ,1 ,24 ,0.05075 ,10.000 ,0.10000
4 ,1 ,25 ,0.04440 ,10.000 ,0.10000
4 ,1 ,26 ,0.02537 ,10.000 ,0.10000
4 ,1 ,27 ,0.01903 ,10.000 ,0.10000
4 ,1 ,28 ,0.05075 ,10.000 ,0.10000
4 ,1 ,29 ,0.06343 ,10.000 ,0.10000
4 ,1 ,30 ,0.06343 ,10.000 ,0.10000
4 ,1 ,31 ,0.06343 ,10.000 ,0.10000
4 ,1 ,32 ,0.09515 ,10.000 ,0.10000
4 ,1 ,33 ,0.12053 ,10.000 ,0.10000
4 ,1 ,34 ,0.03172 ,10.000 ,0.10000
4 ,1 ,37 ,0.02537 ,10.000 ,0.10000
4 ,2 ,16 ,0.01269 ,10.000 ,0.10000
4 ,2 ,19 ,0.02537 ,10.000 ,0.10000
4 ,2 ,20 ,0.01903 ,10.000 ,0.10000
4 ,2 ,21 ,0.03806 ,10.000 ,0.10000
4 ,2 ,22 ,0.05709 ,10.000 ,0.10000
4 ,2 ,23 ,0.06343 ,10.000 ,0.10000
4 ,2 ,24 ,0.06343 ,10.000 ,0.10000
4 ,2 ,25 ,0.05709 ,10.000 ,0.10000
4 ,2 ,26 ,0.04440 ,10.000 ,0.10000
4 ,2 ,27 ,0.03172 ,10.000 ,0.10000
4 ,2 ,28 ,0.03806 ,10.000 ,0.10000
4 ,2 ,29 ,0.05075 ,10.000 ,0.10000
4 ,2 ,30 ,0.06343 ,10.000 ,0.10000
4 ,2 ,31 ,0.03172 ,10.000 ,0.10000
4 ,3 ,15 ,0.01903 ,10.000 ,0.10000
4 ,3 ,16 ,0.01903 ,10.000 ,0.10000
4 ,3 ,19 ,0.01903 ,10.000 ,0.10000
4 ,3 ,20 ,0.01269 ,10.000 ,0.10000
4 ,3 ,21 ,0.02537 ,10.000 ,0.10000
4 ,3 ,22 ,0.02537 ,10.000 ,0.10000
4 ,3 ,23 ,0.05709 ,10.000 ,0.10000
4 ,3 ,24 ,0.03806 ,10.000 ,0.10000
4 ,3 ,25 ,0.06978 ,10.000 ,0.10000
4 ,3 ,26 ,0.11418 ,10.000 ,0.10000
4 ,3 ,27 ,0.03172 ,10.000 ,0.10000
4 ,4 ,14 ,0.01269 ,10.000 ,0.10000
4 ,4 ,15 ,0.01269 ,10.000 ,0.10000
4 ,4 ,17 ,0.00634 ,10.000 ,0.10000
4 ,4 ,18 ,0.00634 ,10.000 ,0.10000
4 ,4 ,23 ,0.02537 ,10.000 ,0.10000
4 ,4 ,24 ,0.03806 ,10.000 ,0.10000
4 ,4 ,25 ,0.03172 ,10.000 ,0.10000
4 ,5 ,15 ,0.01269 ,10.000 ,0.10000
4 ,5 ,16 ,0.03806 ,10.000 ,0.10000
4 ,5 ,17 ,0.03806 ,10.000 ,0.10000
5 ,1 ,14 ,0.02537 ,10.000 ,0.10000
5 ,1 ,15 ,0.03806 ,10.000 ,0.10000
5 ,1 ,16 ,0.01269 ,10.000 ,0.10000
5 ,1 ,17 ,0.01269 ,10.000 ,0.10000
5 ,1 ,23 ,0.03806 ,10.000 ,0.10000
5 ,1 ,24 ,0.03172 ,10.000 ,0.10000
5 ,1 ,25 ,0.02537 ,10.000 ,0.10000
5 ,1 ,26 ,0.02537 ,10.000 ,0.10000
5 ,1 ,27 ,0.01903 ,10.000 ,0.10000
5 ,1 ,28 ,0.01903 ,10.000 ,0.10000
5 ,1 ,29 ,0.03806 ,10.000 ,0.10000
5 ,1 ,30 ,0.04440 ,10.000 ,0.10000
5 ,1 ,31 ,0.04440 ,10.000 ,0.10000
5 ,1 ,32 ,0.06978 ,10.000 ,0.10000
5 ,1 ,33 ,0.12053 ,10.000 ,0.10000
5 ,1 ,34 ,0.06343 ,10.000 ,0.10000
5 ,1 ,35 ,0.01903 ,10.000 ,0.10000
5 ,1 ,36 ,0.02537 ,10.000 ,0.10000
5 ,2 ,14 ,0.00634 ,10.000 ,0.10000
5 ,2 ,15 ,0.01269 ,10.000 ,0.10000
5 ,2 ,16 ,0.01269 ,10.000 ,0.10000
5 ,2 ,21 ,0.01903 ,10.000 ,0.10000
5 ,2 ,22 ,0.01903 ,10.000 ,0.10000
5 ,2 ,23 ,0.05075 ,10.000 ,0.10000
5 ,2 ,24 ,0.05075 ,10.000 ,0.10000
5 ,2 ,25 ,0.05075 ,10.000 ,0.10000
5 ,2 ,26 ,0.05075 ,10.000 ,0.10000
5 ,2 ,27 ,0.02537 ,10.000 ,0.10000
5 ,2 ,28 ,0.05075 ,10.000 ,0.10000
5 ,2 ,29 ,0.03806 ,10.000 ,0.10000
5 ,2 ,30 ,0.05075 ,10.000 ,0.10000
5 ,2 ,31 ,0.03172 ,10.000 ,0.10000
5 ,3 ,14 ,0.01269 ,10.000 ,0.10000
5 ,3 ,15 ,0.03172 ,10.000 ,0.10000
5 ,3 ,16 ,0.04440 ,10.000 ,0.10000
5 ,3 ,17 ,0.01269 ,10.000 ,0.10000
5 ,3 ,21 ,0.01269 ,10.000 ,0.10000
5 ,3 ,22 ,0.01269 ,10.000 ,0.10000
5 ,3 ,23 ,0.05075 ,10.000 ,0.10000
5 ,3 ,24 ,0.05075 ,10.000 ,0.10000
5 ,3 ,25 ,0.05709 ,10.000 ,0.10000
5 ,3 ,26 ,0.05709 ,10.000 ,0.10000
5 ,3 ,27 ,0.01269 ,10.000 ,0.10000
5 ,4 ,14 ,0.01269 ,10.000 ,0.10000
5 ,4 ,15 ,0.04440 ,10.000 ,0.10000
5 ,4 ,16 ,0.01269 ,10.000 ,0.10000
5 ,4 ,17 ,0.00634 ,10.000 ,0.10000
5 ,4 ,24 ,0.02537 ,10.000 ,0.10000
5 ,4 ,25 ,0.03806 ,10.000 ,0.10000
5 ,5 ,15 ,0.02537 ,10.000 ,0.10000
5 ,5 ,16 ,0.06978 ,10.000 ,0.10000
5 ,5 ,17 ,0.10784 ,10.000 ,0.10000
5 ,5 ,18 ,0.02537 ,10.000 ,0.10000
5 ,6 ,16 ,0.01269 ,10.000 ,0.10000
5 ,6 ,17 ,0.03172 ,10.000 ,0.10000
5 ,6 ,18 ,0.00634 ,10.000 ,0.10000
6 ,1 ,14 ,0.01269 ,10.000 ,0.10000
6 ,1 ,15 ,0.06343 ,10.000 ,0.10000
6 ,1 ,16 ,0.00634 ,10.000 ,0.10000
6 ,1 ,17 ,0.01269 ,10.000 ,0.10000
6 ,1 ,18 ,0.01269 ,10.000 ,0.10000
6 ,1 ,25 ,0.02537 ,10.000 ,0.10000
6 ,1 ,26 ,0.01269 ,10.000 ,0.10000
6 ,1 ,27 ,0.01269 ,10.000 ,0.10000
6 ,1 ,28 ,0.01903 ,10.000 ,0.10000
6 ,1 ,29 ,0.02537 ,10.000 ,0.10000
6 ,1 ,30 ,0.03806 ,10.000 ,0.10000
6 ,1 ,31 ,0.02537 ,10.000 ,0.10000
6 ,1 ,32 ,0.06343 ,10.000 ,0.10000
6 ,1 ,33 ,0.12687 ,10.000 ,0.10000
6 ,1 ,34 ,0.08246 ,10.000 ,0.10000
6 ,1 ,35 ,0.01903 ,10.000 ,0.10000
6 ,2 ,14 ,0.01269 ,10.000 ,0.10000
6 ,2 ,15 ,0.03172 ,10.000 ,0.10000
6 ,2 ,16 ,0.00634 ,10.000 ,0.10000
6 ,2 ,17 ,0.00634 ,10.000 ,0.10000
6 ,2 ,23 ,0.01269 ,10.000 ,0.10000
6 ,2 ,24 ,0.03172 ,10.000 ,0.10000
