# To measure flux divietions for ICCP rebutle Original cloud is unknown
32, 32, 64 # nx,ny,nz
0.050, 0.050 # dx,dy [km, km]
0.000, 0.040, 0.080, 0.120, 0.160, 0.200, 0.240, 0.280, 0.320, 0.360, 0.400, 0.440, 0.480, 0.520, 0.560, 0.600, 0.640, 0.680, 0.720, 0.760, 0.800, 0.840, 0.880, 0.920, 0.960, 1.000, 1.040, 1.080, 1.120, 1.160, 1.200, 1.240, 1.280, 1.320, 1.360, 1.400, 1.440, 1.480, 1.520, 1.560, 1.600, 1.640, 1.680, 1.720, 1.760, 1.800, 1.840, 1.880, 1.920, 1.960, 2.000, 2.040, 2.080, 2.120, 2.160, 2.200, 2.240, 2.280, 2.320, 2.360, 2.400, 2.440, 2.480, 2.520 # altitude levels [km]
x,y,z,lwc,reff,veff
1 ,3 ,16 ,0.01140 ,10.000 ,0.10000
1 ,3 ,17 ,0.01697 ,10.000 ,0.10000
1 ,15 ,16 ,0.00843 ,10.000 ,0.10000
1 ,16 ,16 ,0.01242 ,10.000 ,0.10000
1 ,20 ,25 ,0.01047 ,10.000 ,0.10000
1 ,20 ,26 ,0.01102 ,10.000 ,0.10000
1 ,21 ,29 ,0.01638 ,10.000 ,0.10000
1 ,21 ,30 ,0.06033 ,10.000 ,0.10000
1 ,21 ,31 ,0.02405 ,10.000 ,0.10000
2 ,3 ,17 ,0.06062 ,10.000 ,0.10000
2 ,3 ,18 ,0.01400 ,10.000 ,0.10000
2 ,4 ,17 ,0.01020 ,10.000 ,0.10000
2 ,14 ,17 ,0.01241 ,10.000 ,0.10000
2 ,15 ,15 ,0.01172 ,10.000 ,0.10000
2 ,15 ,16 ,0.02325 ,10.000 ,0.10000
2 ,16 ,16 ,0.01750 ,10.000 ,0.10000
2 ,16 ,17 ,0.01818 ,10.000 ,0.10000
2 ,19 ,18 ,0.01740 ,10.000 ,0.10000
2 ,19 ,19 ,0.01554 ,10.000 ,0.10000
2 ,19 ,20 ,0.01729 ,10.000 ,0.10000
2 ,20 ,18 ,0.01797 ,10.000 ,0.10000
2 ,21 ,27 ,0.01690 ,10.000 ,0.10000
2 ,21 ,28 ,0.00985 ,10.000 ,0.10000
2 ,21 ,29 ,0.01611 ,10.000 ,0.10000
2 ,21 ,30 ,0.02257 ,10.000 ,0.10000
2 ,21 ,31 ,0.04777 ,10.000 ,0.10000
2 ,21 ,32 ,0.02333 ,10.000 ,0.10000
3 ,2 ,18 ,0.01688 ,10.000 ,0.10000
3 ,3 ,17 ,0.09257 ,10.000 ,0.10000
3 ,3 ,18 ,0.02852 ,10.000 ,0.10000
3 ,14 ,15 ,0.01054 ,10.000 ,0.10000
3 ,14 ,16 ,0.01057 ,10.000 ,0.10000
3 ,14 ,17 ,0.01045 ,10.000 ,0.10000
3 ,15 ,15 ,0.02098 ,10.000 ,0.10000
3 ,15 ,16 ,0.07288 ,10.000 ,0.10000
3 ,15 ,17 ,0.02278 ,10.000 ,0.10000
3 ,16 ,16 ,0.02141 ,10.000 ,0.10000
3 ,16 ,17 ,0.07219 ,10.000 ,0.10000
3 ,16 ,18 ,0.01723 ,10.000 ,0.10000
3 ,17 ,15 ,0.01858 ,10.000 ,0.10000
3 ,17 ,16 ,0.01617 ,10.000 ,0.10000
3 ,17 ,17 ,0.01688 ,10.000 ,0.10000
3 ,17 ,18 ,0.02347 ,10.000 ,0.10000
3 ,17 ,19 ,0.01694 ,10.000 ,0.10000
3 ,18 ,16 ,0.01804 ,10.000 ,0.10000
3 ,18 ,17 ,0.01002 ,10.000 ,0.10000
3 ,18 ,18 ,0.00882 ,10.000 ,0.10000
3 ,19 ,18 ,0.07175 ,10.000 ,0.10000
3 ,19 ,19 ,0.03414 ,10.000 ,0.10000
3 ,19 ,20 ,0.01430 ,10.000 ,0.10000
3 ,19 ,21 ,0.01533 ,10.000 ,0.10000
3 ,19 ,22 ,0.02320 ,10.000 ,0.10000
3 ,20 ,18 ,0.03474 ,10.000 ,0.10000
3 ,20 ,19 ,0.01659 ,10.000 ,0.10000
3 ,21 ,29 ,0.01474 ,10.000 ,0.10000
3 ,21 ,30 ,0.02209 ,10.000 ,0.10000
3 ,21 ,31 ,0.05379 ,10.000 ,0.10000
4 ,2 ,18 ,0.04860 ,10.000 ,0.10000
4 ,3 ,16 ,0.02750 ,10.000 ,0.10000
4 ,3 ,17 ,0.09145 ,10.000 ,0.10000
4 ,3 ,18 ,0.09126 ,10.000 ,0.10000
4 ,4 ,17 ,0.02351 ,10.000 ,0.10000
4 ,4 ,18 ,0.01768 ,10.000 ,0.10000
4 ,14 ,15 ,0.02309 ,10.000 ,0.10000
4 ,14 ,16 ,0.02949 ,10.000 ,0.10000
4 ,14 ,17 ,0.02296 ,10.000 ,0.10000
4 ,15 ,15 ,0.02613 ,10.000 ,0.10000
4 ,15 ,16 ,0.09023 ,10.000 ,0.10000
4 ,15 ,17 ,0.09119 ,10.000 ,0.10000
4 ,15 ,18 ,0.01502 ,10.000 ,0.10000
4 ,16 ,13 ,0.02402 ,10.000 ,0.10000
4 ,16 ,15 ,0.04102 ,10.000 ,0.10000
4 ,16 ,16 ,0.04622 ,10.000 ,0.10000
4 ,16 ,17 ,0.10284 ,10.000 ,0.10000
4 ,16 ,18 ,0.06525 ,10.000 ,0.10000
4 ,16 ,19 ,0.04769 ,10.000 ,0.10000
4 ,17 ,14 ,0.02180 ,10.000 ,0.10000
4 ,17 ,15 ,0.04760 ,10.000 ,0.10000
4 ,17 ,16 ,0.04709 ,10.000 ,0.10000
4 ,17 ,17 ,0.06516 ,10.000 ,0.10000
4 ,17 ,18 ,0.07157 ,10.000 ,0.10000
4 ,17 ,19 ,0.05317 ,10.000 ,0.10000
4 ,17 ,20 ,0.02391 ,10.000 ,0.10000
4 ,18 ,16 ,0.05991 ,10.000 ,0.10000
4 ,18 ,17 ,0.02173 ,10.000 ,0.10000
4 ,18 ,18 ,0.01573 ,10.000 ,0.10000
4 ,18 ,19 ,0.01647 ,10.000 ,0.10000
4 ,18 ,20 ,0.01580 ,10.000 ,0.10000
4 ,19 ,16 ,0.04062 ,10.000 ,0.10000
4 ,19 ,17 ,0.01526 ,10.000 ,0.10000
4 ,19 ,18 ,0.08899 ,10.000 ,0.10000
4 ,19 ,19 ,0.17855 ,10.000 ,0.10000
4 ,19 ,20 ,0.02050 ,10.000 ,0.10000
