# To measure flux divietions for ICCP rebutle Original cloud is unknown
32, 32, 64 # nx,ny,nz
0.050, 0.050 # dx,dy [km, km]
0.000, 0.040, 0.080, 0.120, 0.160, 0.200, 0.240, 0.280, 0.320, 0.360, 0.400, 0.440, 0.480, 0.520, 0.560, 0.600, 0.640, 0.680, 0.720, 0.760, 0.800, 0.840, 0.880, 0.920, 0.960, 1.000, 1.040, 1.080, 1.120, 1.160, 1.200, 1.240, 1.280, 1.320, 1.360, 1.400, 1.440, 1.480, 1.520, 1.560, 1.600, 1.640, 1.680, 1.720, 1.760, 1.800, 1.840, 1.880, 1.920, 1.960, 2.000, 2.040, 2.080, 2.120, 2.160, 2.200, 2.240, 2.280, 2.320, 2.360, 2.400, 2.440, 2.480, 2.520 # altitude levels [km]
x,y,z,lwc,reff,veff
0 ,0 ,18 ,0.00000 ,10.000 ,0.10000
0 ,0 ,19 ,0.00000 ,10.000 ,0.10000
0 ,0 ,27 ,0.00000 ,10.000 ,0.10000
0 ,0 ,28 ,0.00000 ,10.000 ,0.10000
0 ,1 ,25 ,0.00000 ,10.000 ,0.10000
0 ,1 ,26 ,0.00000 ,10.000 ,0.10000
0 ,1 ,27 ,0.00000 ,10.000 ,0.10000
0 ,1 ,28 ,0.00000 ,10.000 ,0.10000
0 ,1 ,29 ,0.00000 ,10.000 ,0.10000
0 ,1 ,30 ,0.00000 ,10.000 ,0.10000
0 ,2 ,19 ,0.00000 ,10.000 ,0.10000
0 ,2 ,20 ,0.00000 ,10.000 ,0.10000
0 ,2 ,21 ,0.00000 ,10.000 ,0.10000
0 ,2 ,22 ,0.00000 ,10.000 ,0.10000
0 ,2 ,23 ,0.00000 ,10.000 ,0.10000
0 ,2 ,24 ,0.00000 ,10.000 ,0.10000
0 ,2 ,25 ,0.00000 ,10.000 ,0.10000
0 ,2 ,26 ,0.00000 ,10.000 ,0.10000
0 ,2 ,27 ,0.00000 ,10.000 ,0.10000
0 ,2 ,28 ,0.00000 ,10.000 ,0.10000
0 ,2 ,29 ,0.00000 ,10.000 ,0.10000
0 ,3 ,20 ,0.00000 ,10.000 ,0.10000
0 ,3 ,21 ,0.00000 ,10.000 ,0.10000
0 ,3 ,22 ,0.00000 ,10.000 ,0.10000
0 ,3 ,23 ,0.00000 ,10.000 ,0.10000
0 ,3 ,24 ,0.00000 ,10.000 ,0.10000
0 ,3 ,25 ,0.00000 ,10.000 ,0.10000
0 ,3 ,26 ,0.00000 ,10.000 ,0.10000
0 ,3 ,27 ,0.00000 ,10.000 ,0.10000
0 ,3 ,28 ,0.00000 ,10.000 ,0.10000
0 ,3 ,29 ,0.00000 ,10.000 ,0.10000
0 ,3 ,30 ,0.00000 ,10.000 ,0.10000
0 ,4 ,19 ,0.00000 ,10.000 ,0.10000
0 ,4 ,21 ,0.00000 ,10.000 ,0.10000
0 ,4 ,23 ,0.00000 ,10.000 ,0.10000
0 ,4 ,24 ,0.00000 ,10.000 ,0.10000
0 ,4 ,25 ,0.00000 ,10.000 ,0.10000
0 ,4 ,26 ,0.00000 ,10.000 ,0.10000
0 ,4 ,27 ,0.00000 ,10.000 ,0.10000
0 ,5 ,18 ,0.00000 ,10.000 ,0.10000
0 ,5 ,19 ,0.00000 ,10.000 ,0.10000
0 ,5 ,20 ,0.00000 ,10.000 ,0.10000
0 ,5 ,22 ,0.00000 ,10.000 ,0.10000
0 ,5 ,23 ,0.00000 ,10.000 ,0.10000
0 ,5 ,24 ,0.00000 ,10.000 ,0.10000
0 ,5 ,26 ,0.00000 ,10.000 ,0.10000
0 ,5 ,27 ,0.00000 ,10.000 ,0.10000
0 ,6 ,21 ,0.00000 ,10.000 ,0.10000
0 ,6 ,22 ,0.00000 ,10.000 ,0.10000
0 ,6 ,23 ,0.00000 ,10.000 ,0.10000
0 ,6 ,24 ,0.00000 ,10.000 ,0.10000
1 ,0 ,17 ,0.00000 ,10.000 ,0.10000
1 ,0 ,18 ,0.00000 ,10.000 ,0.10000
1 ,0 ,19 ,0.00000 ,10.000 ,0.10000
1 ,0 ,20 ,0.00000 ,10.000 ,0.10000
1 ,0 ,21 ,0.00000 ,10.000 ,0.10000
1 ,0 ,22 ,0.00000 ,10.000 ,0.10000
1 ,0 ,23 ,0.00000 ,10.000 ,0.10000
1 ,0 ,24 ,0.00000 ,10.000 ,0.10000
1 ,0 ,25 ,0.00000 ,10.000 ,0.10000
1 ,0 ,26 ,0.00000 ,10.000 ,0.10000
